data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2018-08-08,6151.874,3846.7903,2894.669,3487.8552,3002.3464,3980.505,3887.1558,4342.1504,3.7658
2018-08-09,5882.771,3886.8474,2821.0708,3525.1687,3003.746,4019.0,3739.868,4556.4585,3.8034
2018-08-10,5874.4136,4027.751,2947.7534,3577.9502,2898.145,3911.625,3936.3813,4416.4565,3.864
2018-08-13,5942.6416,3943.8574,3003.8445,3624.829,2894.608,4029.3167,3908.5134,4316.679,3.8973
2018-08-14,5761.2026,4023.529,2972.245,3621.2434,2910.5918,3849.0,3847.8926,4380.2446,3.8669
2018-08-15,5763.205,4051.5442,3002.1187,3776.0564,2940.5227,3562.01,3802.929,4616.596,3.9007
2018-08-16,5714.825,4071.2495,3012.966,3503.9204,2921.6602,3932.3333,3792.9302,4426.04,3.9052
2018-08-17,5885.3677,4294.579,3026.0593,3886.2234,2969.59,3574.0,3713.2375,4361.904,3.9147
2018-08-20,5963.9785,4119.5874,3034.8752,3768.1404,2874.952,4111.76,3733.1487,4300.5166,3.9577
2018-08-21,5890.256,4006.0825,2997.9626,3738.0134,2897.1296,3761.5,3902.8733,4356.0366,4.0372
2018-08-22,5955.6294,4131.091,2892.4119,3726.4631,2963.9768,3752.7625,3885.4114,4512.125,4.0559
2018-08-23,5944.3184,4047.1128,2906.712,3698.348,2881.6648,3799.0,3727.8884,4111.671,4.123
2018-08-24,6118.812,4006.8965,2941.138,3561.2424,2930.3608,3921.7375,3892.0679,4361.1626,4.1044
2018-08-27,6077.469,4014.673,2953.9902,3587.9043,2911.778,3662.01,3749.3672,4038.7966,4.0812
2018-08-28,6050.8438,4058.9043,2974.7932,3526.3215,2887.832,3608.33,3843.1367,4151.7495,4.1414
2018-08-29,6153.3,3957.8667,2876.1072,3511.2375,2853.2107,3674.0,3601.8313,4280.7017,4.1143
2018-08-30,6108.4277,4010.462,3001.9734,3587.1697,2896.5332,3701.15,3682.3372,4094.1665,4.1463
2018-08-31,6066.5986,4010.1057,2986.0715,3584.3013,2830.9421,3610.2476,3807.4248,4113.797,4.0724
2018-09-03,6291.494,3932.8362,2929.06,3501.8542,2855.0168,3922.01,3447.765,4269.0796,4.152
2018-09-04,6159.12,3970.555,2778.55,3430.77,2699.05,3609.05,3599.1,4369.05,4.1531
2018-09-05,6399.0,4049.1,2764.05,3419.1,2699.1,3599.0,3599.1,4247.05,4.1436
2018-09-06,6319.155,4049.1,2649.57,3419.1,2699.0,3599.0,3599.1,4259.2,4.1042
2018-09-10,6470.21,4161.645,2799.0,3419.1,2699.05,3556.525,3699.0,4268.135,4.0935
2018-09-11,6079.555,4221.13,2799.0,3419.1,2699.0,3556.525,3699.0,4259.2,4.1542
2018-09-12,5898.96,4180.115,2654.0,3343.12,2699.0,3464.05,3679.08,4099.0,4.1455
2018-09-13,5999.0,4161.645,2621.995,3343.12,2699.0,3464.05,3799.05,4369.05,4.1957
2018-09-14,6479.19,4277.07,2879.1,3783.21,2699.0,3464.05,3799.05,4369.05,4.1667
2018-09-17,6336.03,4369.05,2879.1,3783.12,2699.05,3464.05,3799.05,4369.05,4.1252
2018-09-18,6199.99,4277.07,2815.19,3783.12,2699.0,3464.05,3799.05,4369.05,4.1422
2018-09-19,6017.425,4277.07,2649.57,3440.07,2699.0,3599.0,3799.05,4369.05,4.1242
2018-09-20,5999.0,4238.53,2603.07,3440.07,2699.0,3464.05,3799.05,4369.05,4.0717
